INFO 2025-03-07 04:23:19,681 ecs_app 19 views 27791 6139621376 🔄 Loading AI Models...
INFO 2025-03-07 04:23:22,883 ecs_app 22 views 27791 6139621376 ✅ AI Models Loaded Successfully!
INFO 2025-03-07 04:23:35,498 ecs_app 146 views 27791 6165983232 📩 Received API request for ECS mapping.
DEBUG 2025-03-07 04:23:35,498 ecs_app 152 views 27791 6165983232 🔍 Processing log field: account_name
INFO 2025-03-07 04:25:04,721 ecs_app 19 views 28340 6107230208 🔄 Loading AI Models...
INFO 2025-03-07 04:25:07,821 ecs_app 22 views 28340 6107230208 ✅ AI Models Loaded Successfully!
INFO 2025-03-07 04:25:13,541 ecs_app 151 views 28340 12901707776 📩 Received API request for ECS mapping.
DEBUG 2025-03-07 04:25:13,541 ecs_app 157 views 28340 12901707776 🔍 Processing log field: account_name
INFO 2025-03-07 04:25:13,545 ecs_app 161 views 28340 12901707776 ✅ Using stored mapping: account_name -> user.name
INFO 2025-03-07 04:26:02,857 ecs_app 151 views 28340 12901707776 📩 Received API request for ECS mapping.
DEBUG 2025-03-07 04:26:02,857 ecs_app 157 views 28340 12901707776 🔍 Processing log field: account_name
INFO 2025-03-07 04:26:02,860 ecs_app 61 views 28340 12901707776 🔍 Searching for similar ECS mappings for: account_name
DEBUG 2025-03-07 04:26:02,860 ecs_app 54 views 28340 12901707776 📡 Retrieving FAISS index...
INFO 2025-03-07 04:26:02,860 ecs_app 36 views 28340 12901707776 🔄 Initializing FAISS index...
DEBUG 2025-03-07 04:26:02,860 ecs_app 27 views 28340 12901707776 📥 Fetching all ECS mappings from the database...
DEBUG 2025-03-07 04:26:02,860 ecs_app 30 views 28340 12901707776 📋 Retrieved 0 mappings from the database.
WARNING 2025-03-07 04:26:02,860 ecs_app 40 views 28340 12901707776 ⚠️ No mappings found! FAISS index cannot be initialized.
WARNING 2025-03-07 04:26:02,860 ecs_app 65 views 28340 12901707776 ⚠️ FAISS index is empty. No similar fields found.
INFO 2025-03-07 04:26:02,861 ecs_app 94 views 28340 12901707776 🤖 Calling ChatGPT for ECS mapping of: account_name
INFO 2025-03-07 04:26:04,380 ecs_app 124 views 28340 12901707776 📢 ChatGPT Response: 'user.name'
INFO 2025-03-07 04:26:04,526 ecs_app 131 views 28340 12901707776 💾 Storing ECS mapping: account_name -> 'user.name' (Confidence: 0.80)
INFO 2025-03-07 04:26:04,528 ecs_app 139 views 28340 12901707776 ✅ Created Mapping: account_name -> 'user.name'
INFO 2025-03-07 04:26:04,528 ecs_app 174 views 28340 12901707776 📢 ChatGPT-generated mapping stored: account_name -> 'user.name'
INFO 2025-03-07 04:27:23,208 ecs_app 151 views 28340 12901707776 📩 Received API request for ECS mapping.
DEBUG 2025-03-07 04:27:23,208 ecs_app 157 views 28340 12901707776 🔍 Processing log field: account_name
INFO 2025-03-07 04:27:23,212 ecs_app 161 views 28340 12901707776 ✅ Using stored mapping: account_name -> 'user.name'
DEBUG 2025-03-07 04:27:23,212 ecs_app 157 views 28340 12901707776 🔍 Processing log field: severity
INFO 2025-03-07 04:27:23,213 ecs_app 61 views 28340 12901707776 🔍 Searching for similar ECS mappings for: severity
DEBUG 2025-03-07 04:27:23,213 ecs_app 54 views 28340 12901707776 📡 Retrieving FAISS index...
INFO 2025-03-07 04:27:23,213 ecs_app 36 views 28340 12901707776 🔄 Initializing FAISS index...
DEBUG 2025-03-07 04:27:23,213 ecs_app 27 views 28340 12901707776 📥 Fetching all ECS mappings from the database...
DEBUG 2025-03-07 04:27:23,213 ecs_app 30 views 28340 12901707776 📋 Retrieved 1 mappings from the database.
INFO 2025-03-07 04:27:23,215 ecs_app 48 views 28340 12901707776 ✅ FAISS index initialized with 1 entries.
DEBUG 2025-03-07 04:27:23,288 ecs_app 27 views 28340 12901707776 📥 Fetching all ECS mappings from the database...
